event_id,video_id,ticker,company_name,creator,publish_date,recommendation_type,event_quality_score,classification_confidence,direction_confidence,ticker_disambiguation_score,evidence_verb_count,explicit_buy_sell_hold_terms,conditional_language_flag,ambiguous_language_flag,historical_discussion_flag,option_or_crypto_confusion_flag,ticker_false_positive_risk,duplicate_cluster_id,duplicate_nearby_event_count,lookahead_risk_score,low_lookahead_flag,top5_flag,evidence_excerpt_short_hash,reason_codes,confidence_bucket
21,1YqWGg78zqk,NVDA,Nvidia,Jose Najarro Stocks,2025-08-27,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,40376b89781ac008,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
22,1YqWGg78zqk,NVDA,Nvidia,Jose Najarro Stocks,2025-08-27,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,b8aab854097dc3d6,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
23,1dB1d_j52FM,DIS,Disney,The Investor Channel,2023-10-06,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,2867cc6c77b77697,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
24,1dB1d_j52FM,AMD,nan,The Investor Channel,2023-10-06,sell,3,65,65,90,1,sell,False,False,False,False,False,,,70,False,True,c9c36cd3ebde4f9c,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
25,1dB1d_j52FM,MSFT,Microsoft,The Investor Channel,2023-10-06,sell,3,60,60,90,1,sell,False,False,False,False,False,,,70,False,False,811ac1dcc43fa0f4,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
26,1dB1d_j52FM,AAPL,Apple,The Investor Channel,2023-10-06,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,684447c7ffe84a44,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
27,1dZfqxqT6_c,AAPL,Apple,Dividendology,2024-12-17,sell,3,65,65,90,1,sell,False,False,False,False,False,,,70,False,True,e3d9a2df75d518dc,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
28,23PBK_ZYCT8,NVDA,Nvidia,The Investor Channel,2023-05-24,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,4d1b17a5206754ba,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
29,2_MQtf3XOUg,NFLX,Netflix,"Mark Roussin, CPA",2023-07-28,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,29a4ab9d0f19b3ef,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
30,2_MQtf3XOUg,MSFT,Microsoft,"Mark Roussin, CPA",2023-07-28,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,492a2b46ee42faa7,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
31,2angHb8-cfU,NFLX,Netflix,The Investor Channel,2023-08-25,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,ddcbe8fad69b16a8,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
32,2angHb8-cfU,NFLX,Netflix,The Investor Channel,2023-08-25,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,e359724d9e535b5a,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
33,2angHb8-cfU,MSFT,Microsoft,The Investor Channel,2023-08-25,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,478923d02dbb095c,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
34,2hF0_S38gc0,AAPL,Apple,"Mark Roussin, CPA",2023-09-08,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,073a01bf6e9fba5d,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
35,2hF0_S38gc0,AAPL,Apple,"Mark Roussin, CPA",2023-09-08,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,a29aa89bf3834e0d,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
36,2hF0_S38gc0,AAPL,Apple,"Mark Roussin, CPA",2023-09-08,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,7d085f7cb4a26313,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
37,2hF0_S38gc0,AAPL,Apple,"Mark Roussin, CPA",2023-09-08,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,ce8fb0cd5225d447,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
38,2hF0_S38gc0,AAPL,Apple,"Mark Roussin, CPA",2023-09-08,sell,3,75,75,90,1,sell,False,False,False,False,False,,,20,True,True,7aebe433a485d7d5,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
39,2hF0_S38gc0,AAPL,Apple,"Mark Roussin, CPA",2023-09-08,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,8cbf13548bd1329e,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
40,2uKbBJCs6UA,AMD,nan,Jose Najarro Stocks,2025-07-11,buy,4,85,85,90,1,buy,False,False,False,False,False,,,70,False,True,a0379470dea4dcc7,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
41,31vaZzJkMaU,AMZN,Amazon,The Investor Channel,2023-09-30,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,94b74190ed7c0119,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
42,31vaZzJkMaU,MSFT,Microsoft,The Investor Channel,2023-09-30,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,e6c6e50acfcfe751,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
43,31vaZzJkMaU,MSFT,Microsoft,The Investor Channel,2023-09-30,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,77f2341c3b092432,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
44,34HX-1xNyng,NVDA,Nvidia,"Value Investing with Sven Carlin, Ph.D.",2025-10-05,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,a01bc88a821fc6ed,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
45,35o0vzF108U,MSFT,Microsoft,"Mark Roussin, CPA",2023-07-07,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,e4c24d6778612972,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
46,3SWmWnFfXdY,AAPL,Apple,"Mark Roussin, CPA",2023-11-20,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,633b728c4a567722,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
47,3SWmWnFfXdY,AAPL,Apple,"Mark Roussin, CPA",2023-11-20,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,d900a23092aa1f7d,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
48,3SWmWnFfXdY,UBER,Uber,"Mark Roussin, CPA",2023-11-20,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,8cbe94d344946e34,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
49,3xZTFoIDDfE,PYPL,PayPal,The Investor Channel,2023-08-06,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,c3f4aab336726ae1,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
50,44bWgTeU7sM,MSFT,Microsoft,Dividendology,2024-11-01,sell,3,70,70,90,1,sell,False,False,False,False,False,,,20,True,False,abc51b5d25c161d4,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
51,44bWgTeU7sM,MSFT,Microsoft,Dividendology,2024-11-01,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,80cf0053c36a170e,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
52,65JAF7VVjdg,TSLA,Tesla,The Investor Channel,2023-04-14,sell,3,65,65,90,1,sell,False,False,False,False,False,,,70,False,True,27ace79dc8f82c96,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
53,65JAF7VVjdg,MSFT,Microsoft,The Investor Channel,2023-04-14,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,ce344d17160941c3,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
54,6748pkSNY3U,NVDA,Nvidia,"Mark Roussin, CPA",2024-02-01,sell,2,55,55,90,1,sell,True,True,False,False,False,,,20,True,True,84f4c78ffd7291fd,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
55,6748pkSNY3U,AMZN,Amazon,"Mark Roussin, CPA",2024-02-01,sell,2,55,55,90,1,sell,True,True,False,False,False,,,20,True,True,54df630467112931,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
56,6KPwRv_UBi0,NVDA,Nvidia,Jose Najarro Stocks,2025-08-25,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,7ea3cc20d952fb23,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
57,6KPwRv_UBi0,NVDA,Nvidia,Jose Najarro Stocks,2025-08-25,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,984d6a891380d5a5,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
58,7__Qgn7QUEY,TSLA,Tesla,The Investor Channel,2023-08-07,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,623d1740dc4cb9cd,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
59,7__Qgn7QUEY,AMZN,Amazon,The Investor Channel,2023-08-07,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,67861142179b3f3e,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
60,97j1_mHzIQ0,NVDA,Nvidia,Couch Investor,2025-08-28,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,e4a5d7310a23f431,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
61,97j1_mHzIQ0,GOOGL,Alphabet,Couch Investor,2025-08-28,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,d777485ced53ce17,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
62,9Ru3CaETF20,TSLA,Tesla,The Investor Channel,2023-07-21,sell,3,65,65,90,1,sell,False,False,False,False,False,,,70,False,True,33d7a250ec2cf461,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
63,9bK8GPEffqA,MSFT,Microsoft,"Mark Roussin, CPA",2023-10-26,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,c9b5d8babd1479ab,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
64,9bK8GPEffqA,GOOGL,Alphabet,"Mark Roussin, CPA",2023-10-26,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,b574d6927aa69405,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
65,9bK8GPEffqA,TSLA,Tesla,"Mark Roussin, CPA",2023-10-26,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,f0828b8e05554dd8,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
66,9kJI7BgxLM8,SOFI,SoFi,Couch Investor,2025-09-12,buy,4,80,80,90,1,buy,False,False,False,False,False,,,70,False,False,2016070099b39f7b,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
67,9kJI7BgxLM8,NVDA,Nvidia,Couch Investor,2025-09-12,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,fdb8b65d60f15bff,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
68,B6S8a3s2hsc,NFLX,Netflix,"Parkev Tatevosian, CFA",2026-03-04,sell,3,70,70,90,1,sell,False,False,False,False,False,,,20,True,False,9c1c19da24e7f1dc,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
69,BS-FOYQpQP8,NVDA,Nvidia,Jose Najarro Stocks,2025-08-21,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,222d148dd0c1ad6d,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
70,BS-FOYQpQP8,MSFT,Microsoft,Jose Najarro Stocks,2025-08-21,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,35e8a43762ee6ed0,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
71,BcrKHeLTQDU,DIS,Disney,"Parkev Tatevosian, CFA",2026-02-12,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,ebdbd3d69db7738f,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
72,CG10U8nRJrQ,UBER,Uber,Jose Najarro Stocks,2025-07-15,buy,4,80,80,90,1,buy,False,False,False,False,False,,,70,False,False,11e27e5aa217ef71,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
73,CLk6va-UIRM,NFLX,Netflix,The Investor Channel,2023-04-18,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,128aa3cc50b2cf83,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
74,CLk6va-UIRM,NFLX,Netflix,The Investor Channel,2023-04-18,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,61c4153cdb92ed81,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
75,CLk6va-UIRM,GOOGL,Alphabet,The Investor Channel,2023-04-18,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,acb0d703c31d7204,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
76,DHwoJCG4ndQ,NVDA,Nvidia,"Mark Roussin, CPA",2024-02-22,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,cd9a07feb02ea958,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
77,DlS4WhVvDkM,MSFT,Microsoft,"Parkev Tatevosian, CFA",2026-03-06,sell,3,70,70,90,1,sell,False,False,False,False,False,,,20,True,False,452b6bca7d9b1655,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
78,DlS4WhVvDkM,AMZN,Amazon,"Parkev Tatevosian, CFA",2026-03-06,sell,3,75,75,90,1,sell,False,False,False,False,False,,,20,True,True,993a250a79a35584,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
79,Dncak16KYh8,DIS,Disney,Dividendology,2024-08-09,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,81531084b5bb07c6,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
80,E0HHNg9gi8c,PYPL,PayPal,Couch Investor,2025-09-17,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,96e90e7c2156ac49,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
81,E0HHNg9gi8c,META,Meta,Couch Investor,2025-09-17,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,cb6fabe33ffd9278,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
82,EAWKHNBmVtM,DIS,Disney,"Mark Roussin, CPA",2023-09-15,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,fdf44912a8c96af9,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
83,EAWKHNBmVtM,AAPL,Apple,"Mark Roussin, CPA",2023-09-15,sell,2,55,55,90,1,sell,True,True,False,False,False,,,20,True,True,9d4909dd4c9b150b,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
84,FLfvPzUYoPE,GOOGL,Alphabet,Jose Najarro Stocks,2025-07-25,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,34f6033b5063079d,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
85,FeENJP2vWA8,NVDA,Nvidia,Dividend Bull,2023-07-24,sell,3,65,65,90,1,sell,False,False,False,False,False,,,70,False,True,140559f4b745be6b,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
86,FeENJP2vWA8,NVDA,Nvidia,Dividend Bull,2023-07-24,sell,3,65,65,90,1,sell,False,False,False,False,False,,,70,False,True,d0eb9f5c80107c21,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
87,GIPCWsA3i4Y,GOOGL,Alphabet,Jose Najarro Stocks,2025-08-20,buy,4,80,80,90,1,buy,False,False,False,False,False,,,70,False,False,e0186757dd0ff71e,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
88,GVA7lniVgiU,META,Meta,"Parkev Tatevosian, CFA",2026-02-24,buy,2,40,40,90,1,buy,True,True,False,False,False,,,70,False,False,e8816c3d8af783aa,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
89,Gp5lBn3CQKM,GOOGL,Alphabet,The Investor Channel,2023-03-17,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,2e301ee6f3eacb7c,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
90,Gp5lBn3CQKM,GOOGL,Alphabet,The Investor Channel,2023-03-17,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,3b3fe22548fbd8da,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
91,Gp5lBn3CQKM,AAPL,Apple,The Investor Channel,2023-03-17,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,4864c45e9a26899e,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
92,Gp5lBn3CQKM,AAPL,Apple,The Investor Channel,2023-03-17,sell,3,65,65,90,1,sell,False,False,False,False,False,,,70,False,True,352c0e361385252e,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
93,Gp5lBn3CQKM,NFLX,Netflix,The Investor Channel,2023-03-17,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,967e89396ef1fb79,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
94,Gp5lBn3CQKM,NVDA,Nvidia,The Investor Channel,2023-03-17,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,b6d4820fe14df3ce,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
95,GrVx-TilfBE,MSFT,Microsoft,"Mark Roussin, CPA",2023-07-21,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,f4ccac992960ffbe,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
96,GrVx-TilfBE,NVDA,Nvidia,"Mark Roussin, CPA",2023-07-21,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,bd524510beb34239,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
97,H-yz9DyYa8A,NVDA,Nvidia,"Mark Roussin, CPA",2023-11-23,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,c46a4159a7b1758d,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
98,H-yz9DyYa8A,AAPL,Apple,"Mark Roussin, CPA",2023-11-23,sell,2,55,55,90,1,sell,True,True,False,False,False,,,20,True,True,729a007132a30721,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
99,H-yz9DyYa8A,MSFT,Microsoft,"Mark Roussin, CPA",2023-11-23,sell,3,70,70,90,1,sell,False,False,False,False,False,,,20,True,False,eb8cede3014d82a6,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
100,H8csy_L4fqg,NVDA,Nvidia,Jose Najarro Stocks,2025-08-13,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,19983e1d5a65c010,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
101,H8csy_L4fqg,NVDA,Nvidia,Jose Najarro Stocks,2025-08-13,sell,3,65,65,90,1,sell,False,False,False,False,False,,,70,False,True,f1c530c5d972cae8,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
102,H9Lco_DOsPs,NVDA,Nvidia,The Investor Channel,2023-02-25,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,1213373131fcb562,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
103,H9Lco_DOsPs,NFLX,Netflix,The Investor Channel,2023-02-25,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,a01f1e9b1104b32a,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
104,H9Lco_DOsPs,MSFT,Microsoft,The Investor Channel,2023-02-25,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,6572633c1d225687,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
105,H9Lco_DOsPs,AMZN,Amazon,The Investor Channel,2023-02-25,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,e0527dab233df49e,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
106,H9Lco_DOsPs,GOOGL,Alphabet,The Investor Channel,2023-02-25,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,00c70e1df1e7f7e8,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
107,HDde6rXbRCg,TSLA,Tesla,The Investor Channel,2023-01-26,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,6373121e42f9a82b,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
108,HDde6rXbRCg,TSLA,Tesla,The Investor Channel,2023-01-26,sell,3,65,65,90,1,sell,False,False,False,False,False,,,70,False,True,46c3df115477370b,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
109,IXgrCqWst4o,NVDA,Nvidia,Couch Investor,2025-08-07,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,7a2a633cd1af330f,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
110,IgGPrrJCmq0,TSLA,Tesla,"Mark Roussin, CPA",2024-01-25,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,36f9aa142d7421ce,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
111,J8Yi959ALgg,AMZN,Amazon,"Parkev Tatevosian, CFA",2026-02-18,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,94fbb19faf3634ed,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
112,J8Yi959ALgg,META,Meta,"Parkev Tatevosian, CFA",2026-02-18,buy,2,50,50,90,1,buy,True,True,False,False,False,,,20,True,False,332cd104721f843c,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
113,JAzlSk7F9yc,MSFT,Microsoft,Dividendology,2024-08-02,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,2326f75d647b77a9,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
114,JJnHO-r1NDU,NVDA,Nvidia,Jose Najarro Stocks,2025-07-16,sell,3,65,65,90,1,sell,False,False,False,False,False,,,70,False,True,4c22cad95948a0f3,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
115,JJnHO-r1NDU,NVDA,Nvidia,Jose Najarro Stocks,2025-07-16,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,2403d7b1645f9cbd,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
116,JJnHO-r1NDU,AMD,nan,Jose Najarro Stocks,2025-07-16,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,d4dfa7c7ad891b23,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
